,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station,Date,SOD,J[NH4],J[NO3],J[PO4],O2(0),NH4(0),NO3(0),PO4(0),T,,Station,Day,NH4(0),NO3(0),PO4(0),O2(0),Station,Day,NH4(0),NO3(0),PO4(0),O2(0),,Station,Day,NH4(0),NO3(0),PO4(0),,Station,Day,PIP,POP
2, 04/21/94 ,0.272,0.12,0.00,0.22,8.06,0.018,0.051,0.005,15.93,,2,136,0.018,0.051,0.005,             ,40,138,0.015,0.015,0.002,            ,,2,822,3.65,0.002,1.40,,2,926,0.77,0.17
2, 07/19/94 ,0.427,30.98,-3.93,2.01,3.85,0.089,0.363,0.028,20.94,,2,144,               ,               ,               ,8.06,40,147,0.048,0.029,               ,            ,,2,926,8.96,0.012,1.06,,7,926,1.27,0.25
2, 10/06/94 ,0.346,29.21,1.95,0.00,6.87,0.036,0.217,0.011,14.30,,2,153,0.018,0.024,0.005,8.10,40,147,               ,               ,               ,11.29,,2,1018,8.52,0.005,1.23,,37,926,1.29,0.31
7, 04/10/94 ,0.246,0.47,3.52,3.10,12.94,0.018,0.315,0.011,10.35,,2,166,0.013,0.048,0.006,7.60,40,147,0.029,0.089,               ,            ,,7,822,1.51,0.002,1.05,,41,926,0.87,0.22
7, 07/23/94 ,0.094,0.00,-4.22,2.30,10.50,0.015,0.272,0.006,20.94,,2,179,0.085,0.119,0.005,             ,40,147,               ,               ,               ,10.44,,7,926,1.00,0.026,1.62,,50,926,0.75,0.26
7, 10/04/94 ,0.383,1.12,-0.59,0.00,9.03,0.020,0.260,0.006,8.42,,2,193,0.103,0.338,0.013,             ,40,159,               ,               ,               ,9.90,,7,1018,1.18,0.006,1.47,,51,926,1.14,0.25
37, 04/25/94 ,0.334,-2.19,9.27,1.09,10.87,0.031,0.044,0.002,7.57,,2,193,               ,               ,               ,2.70,40,166,0.015,0.023,               ,            ,,37,822,0.85,0.001,0.40,,,,,
37, 07/20/94 ,0.402,0.00,0.00,2.90,5.89,0.015,0.015,0.011,20.94,,2,208,0.075,0.387,0.042,             ,40,166,               ,               ,               ,9.23,,37,926,0.40,0.026,0.56,,,,,
37, 10/17/94 ,0.438,6.98,5.46,1.54,10.48,0.021,0.127,0.005,11.57,,2,208,               ,               ,               ,5.00,40,178,0.020,0.016,               ,            ,,37,1018,1.19,0.009,0.91,,,,,
41, 04/25/94 ,0.358,7.37,2.71,0.37,10.87,0.031,0.044,0.002,7.57,,2,216,               ,               ,               ,0.89,40,178,               ,               ,               ,8.54,,41,822,0.74,0.002,0.42,,,,,
41, 07/20/94 ,0.754,22.12,0.00,2.60,5.89,0.015,0.015,0.011,20.94,,2,228,               ,               ,               ,5.78,40,195,0.015,0.015,               ,            ,,41,926,3.44,0.017,1.77,,,,,
41, 10/17/94 ,0.381,3.28,4.35,0.30,10.48,0.021,0.127,0.005,1.57,,2,245,0.031,0.119,               ,             ,40,195,               ,               ,               ,6.08,,41,1018,1.00,0.006,0.28,,,,,
50, 04/11/94 ,0.254,-2.13,0.58,0.15,10.68,0.015,0.424,0.007,10.35,,2,264,0.018,0.120,0.008,7.80,40,208,0.015,0.015,               ,            ,,50,822,0.60,0.028,0.09,,,,,
50, 07/21/94 ,0.260,61.45,-11.21,23.08,7.97,0.019,0.091,0.006,20.94,,2,277,0.051,0.251,               ,             ,40,208,               ,               ,               ,5.69,,50,926,1.05,0.012,0.63,,,,,
50, 10/12/94 ,0.502,1.47,6.70,0.67,10.20,0.015,0.015,0.002,10.45,,2,277,               ,               ,               ,6.87,40,236,               ,               ,               ,9.80,,50,1018,1.12,0.004,0.30,,,,,
51, 04/11/94 ,0.285,-0.73,1.31,0.55,10.68,0.015,0.424,0.007,10.35,,2,283,0.020,0.182,0.011,             ,40,250,               ,               ,               ,9.34,,51,822,1.29,0.003,0.86,,,,,
51, 07/21/94 ,0.300,30.72,-1.92,1.60,7.97,0.019,0.091,0.006,20.94,,7,130,0.025,0.330,0.012,             ,40,262,0.015,0.015,0.003,            ,,51,926,2.45,0.014,0.62,,,,,
51, 10/12/94 ,0.587,10.19,7.08,0.92,10.20,0.015,0.015,0.002,10.45,,7,158,               ,               ,               ,10.49,40,264,0.015,0.015,               ,            ,,51,1018,2.08,0.005,0.51,,,,,
,,,,,,,,,,,,7,165,               ,               ,               ,10.82,40,264,               ,               ,               ,8.37,,,,,,,,,,,
,,,,,,,,,,,,7,166,               ,               ,               ,11.20,40,290,               ,               ,               ,10.48,,,,,,,,,,,
,,,,,,,,,,,,7,166,0.015,0.332,0.010,             ,50,131,0.015,0.424,0.007,            ,,,,,,,,,,,
,,,,,,,,,,,,7,179,0.015,0.305,0.002,             ,50,159,0.015,0.206,0.004,9.20,,,,,,,,,,,
,,,,,,,,,,,,7,193,0.015,0.295,0.006,10.40,50,192,0.033,0.241,0.003,8.70,,,,,,,,,,,
,,,,,,,,,,,,7,208,               ,               ,               ,10.60,50,207,0.010,0.016,0.009,7.60,,,,,,,,,,,
,,,,,,,,,,,,7,208,0.015,0.351,0.009,             ,50,207,0.015,0.016,               ,7.60,,,,,,,,,,,
,,,,,,,,,,,,7,208,0.015,0.169,0.002,             ,50,236,               ,               ,               ,8.90,,,,,,,,,,,
,,,,,,,,,,,,7,228,               ,               ,               ,9.49,50,250,0.015,0.015,0.003,9.00,,,,,,,,,,,
,,,,,,,,,,,,7,245,0.015,0.274,               ,             ,50,262,0.015,0.015,0.003,            ,,,,,,,,,,,
,,,,,,,,,,,,7,264,0.015,0.302,0.011,9.60,50,277,0.015,0.015,0.002,10.70,,,,,,,,,,,
,,,,,,,,,,,,7,277,               ,               ,               ,9.03,50,290,               ,               ,               ,9.70,,,,,,,,,,,